排名,电影名,评分,评价人数,年份,一句话影评
1,肖申克的救赎,9.7,3287705,1994,
2,霸王别姬,9.6,2425752,1993,
3,泰坦尼克号,9.5,2501047,1997,
4,阿甘正传,9.5,2432577,1994,
5,千与千寻,9.4,2539490,2001,
6,美丽人生,9.5,1483611,1997,
7,星际穿越,9.4,2186630,2014,
8,这个杀手不太冷,9.4,2554277,1994,
9,盗梦空间,9.4,2327589,2010,
10,楚门的世界,9.4,2021689,1998,
11,辛德勒的名单,9.5,1248239,1993,
12,忠犬八公的故事,9.4,1544569,2009,
13,海上钢琴师,9.3,1881170,1998,
14,疯狂动物城,9.3,2322905,2016,
15,三傻大闹宝莱坞,9.2,2080426,2009,
16,机器人总动员,9.3,1495152,2008,
17,放牛班的春天,9.3,1475259,2004,
18,无间道,9.3,1566993,2002,
19,控方证人,9.6,744879,1957,
20,寻梦环游记,9.1,1992403,2017,
21,大话西游之大圣娶亲,9.2,1711191,1995,
22,熔炉,9.3,1037086,2011,
23,触不可及,9.3,1297551,2011,
24,教父,9.3,1108750,1972,
25,末代皇帝,9.3,1030386,1987,
26,哈利·波特与魔法石,9.2,1425151,2001,
27,当幸福来敲门,9.1,1689996,2006,
28,龙猫,9.2,1412976,1988,
29,活着,9.3,971778,1994,
30,怦然心动,9.1,2053655,2010,
31,蝙蝠侠：黑暗骑士,9.2,1194316,2008,
32,指环王3：王者无敌,9.3,911968,2003,
33,我不是药神,9.0,2353625,2018,
34,乱世佳人,9.3,796969,1939,
35,让子弹飞,9.0,1922917,2010,
36,飞屋环游记,9.1,1503082,2009,
37,哈尔的移动城堡,9.1,1293770,2004,
38,十二怒汉,9.4,580198,1957,
39,海蒂和爷爷,9.3,784160,2015,
40,素媛,9.3,777456,2013,
41,猫鼠游戏,9.1,1213469,2002,
42,天空之城,9.2,1010755,1986,
43,鬼子来了,9.3,716577,2000,
44,摔跤吧！爸爸,9.0,1748134,2016,
45,少年派的奇幻漂流,9.1,1491642,2012,
46,钢琴家,9.3,751656,2002,
47,指环王2：双塔奇兵,9.2,858943,2002,
48,死亡诗社,9.2,885736,1989,
49,大话西游之月光宝盒,9.0,1367809,1995,
50,绿皮书,8.9,1896282,2018,
51,何以为家,9.1,1164086,2018,
52,闻香识女人,9.1,1025225,1992,
53,大闹天宫,9.4,511023,1961,
54,黑客帝国,9.1,952413,1999,
55,指环王1：护戒使者,9.1,962045,2001,
56,罗马假日,9.1,1050096,1953,
57,教父2,9.3,641614,1974,
58,狮子王,9.1,962903,1994,
59,天堂电影院,9.2,742629,1988,
60,饮食男女,9.2,727333,1994,
61,辩护人,9.2,659108,2013,
62,本杰明·巴顿奇事,9.0,1107321,2008,
63,搏击俱乐部,9.0,978182,1999,
64,美丽心灵,9.1,854905,2001,
65,穿条纹睡衣的男孩,9.2,643185,2008,
66,哈利·波特与死亡圣器(下),9.0,973136,2011,
67,情书,8.9,1329083,1995,
68,两杆大烟枪,9.1,679617,1998,
69,窃听风暴,9.2,633363,2006,
70,功夫,8.9,1340045,2004,
71,音乐之声,9.1,685797,1965,
72,哈利·波特与阿兹卡班的囚徒,9.0,893766,2004,
73,阿凡达,8.8,1589280,2009,
74,西西里的美丽传说,8.9,1095581,2000,
75,看不见的客人,8.8,1444302,2016,
76,拯救大兵瑞恩,9.1,726796,1998,
77,沉默的羔羊,8.9,1018891,1991,
78,小鞋子,9.2,467814,1997,
79,布达佩斯大饭店,8.9,1088464,2014,
80,蝴蝶效应,8.9,1071094,2004,
81,飞越疯人院,9.1,605686,1975,
82,还有明天,9.3,375479,2023,
83,禁闭岛,8.9,1117124,2010,
84,心灵捕手,9.0,817485,1997,
85,致命魔术,8.9,966644,2006,
86,低俗小说,8.9,962615,1994,
87,哈利·波特与密室,8.9,920260,2002,
88,超脱,9.0,725875,2011,
89,一一,9.1,513847,2000,
90,喜剧之王,8.8,1099139,1999,
91,致命ID,8.9,953243,2003,
92,杀人回忆,8.9,840706,2003,
93,摩登时代,9.3,348403,1936,
94,春光乍泄,9.0,711641,1997,
95,加勒比海盗,8.8,972178,2003,
96,海豚湾,9.3,383155,2009,
97,美国往事,9.1,473705,1984,
98,红辣椒,9.0,573144,2006,
99,七宗罪,8.8,1066086,1995,
100,唐伯虎点秋香,8.8,1228927,1993,
101,狩猎,9.1,473013,2012,
102,幽灵公主,8.9,672554,1997,
103,寄生虫,8.8,1553669,2019,
104,甜蜜蜜,8.9,677151,1996,
105,天书奇谭,9.2,337489,1983,
106,蝙蝠侠：黑暗骑士崛起,8.9,817369,2012,
107,超能陆战队,8.8,1150057,2014,
108,7号房的礼物,8.9,624475,2013,
109,茶馆,9.5,211215,1982,
110,第六感,8.9,641748,1999,
111,爱在黎明破晓前,8.8,805972,1995,
112,爱在日落黄昏时,8.9,657871,2004,
113,被嫌弃的松子的一生,8.8,777625,2006,
114,头脑特工队,8.8,811480,2015,
115,哈利·波特与火焰杯,8.8,806234,2005,
116,未麻的部屋,9.1,428216,1997,
117,重庆森林,8.8,926815,1994,
118,借东西的小人阿莉埃蒂,8.9,630657,2010,
119,菊次郎的夏天,8.9,676465,1999,
120,入殓师,8.9,745349,2008,
121,断背山,8.8,786075,2005,
122,剪刀手爱德华,8.7,1124179,1990,
123,勇敢的心,8.9,607532,1995,
124,时空恋旅人,8.8,798005,2013,
125,驯龙高手,8.8,870210,2010,
126,傲慢与偏见,8.7,943723,2005,
127,消失的爱人,8.7,1078200,2014,
128,无人知晓,9.1,374700,2004,
129,倩女幽魂,8.8,839193,1987,
130,新世界,8.9,531389,2013,
131,花样年华,8.8,810484,2000,
132,玩具总动员3,8.9,596131,2010,
133,一个叫欧维的男人决定去死,8.9,572889,2015,
134,色，戒,8.7,967385,2007,
135,完美的世界,9.1,361861,1993,
136,怪兽电力公司,8.8,774364,2001,
137,教父3,9.0,435147,1990,
138,阳光灿烂的日子,8.8,698887,1994,
139,小森林 夏秋篇,9.0,475791,2014,
140,天使爱美丽,8.7,1023969,2001,
141,侧耳倾听,8.9,523041,1995,
142,哪吒闹海,9.2,310234,1979,
143,九品芝麻官,8.8,799055,1994,
144,被解救的姜戈,8.8,696542,2012,
145,请以你的名字呼唤我,8.8,829180,2017,
146,幸福终点站,8.8,645558,2004,
147,釜山行,8.6,1356937,2016,
148,神偷奶爸,8.7,1051513,2010,
149,小森林 冬春篇,9.0,422698,2015,
150,喜宴,9.0,434987,1993,
151,萤火之森,8.8,614865,2011,
152,告白,8.8,747285,2010,
153,七武士,9.3,237498,1954,
154,玛丽和麦克斯,9.0,473108,2009,
155,头号玩家,8.6,1523932,2018,
156,模仿游戏,8.8,723357,2014,
157,惊魂记,9.0,359191,1960,
158,大鱼,8.8,629781,2003,
159,机器人之梦,9.1,446265,2023,
160,心灵奇旅,8.7,1150010,2020,
161,背靠背，脸对脸,9.5,181848,1994,
162,血战钢锯岭,8.7,863300,2016,
163,你的名字。,8.5,1601301,2016,
164,射雕英雄传之东成西就,8.7,721156,1993,
165,我是山姆,9.0,378817,2001,
166,阳光姐妹淘,8.8,641350,2011,
167,末路狂花,9.0,353463,1991,
168,恐怖直播,8.7,731891,2013,
169,黑客帝国3：矩阵革命,8.8,500012,2003,
170,高山下的花环,9.5,161863,1984,
171,小丑,8.7,1129857,2019,
172,谍影重重3,8.9,473813,2007,
173,三块广告牌,8.7,924650,2017,
174,电锯惊魂,8.7,616987,2004,
175,无间道2,8.8,571729,2003,
176,达拉斯买家俱乐部,8.8,509057,2013,
177,疯狂原始人,8.7,925678,2013,
178,绿里奇迹,8.9,391003,1999,
179,爱在午夜降临前,8.9,477927,2013,
180,疯狂的石头,8.6,931120,2006,
181,雨中曲,9.1,271018,1952,
182,2001太空漫游,8.9,400118,1968,
183,海街日记,8.8,525135,2015,
184,风之谷,8.9,395524,1984,
185,上帝之城,9.0,335156,2002,
186,心迷宫,8.7,622244,2014,
187,英雄本色,8.6,609833,1986,
188,纵横四海,8.8,488453,1991,
189,记忆碎片,8.7,674091,2000,
190,无敌破坏王,8.7,615506,2012,
191,卢旺达饭店,8.9,369207,2004,
192,牯岭街少年杀人事件,8.9,373110,1991,
193,恐怖游轮,8.5,997668,2009,
194,小偷家族,8.7,899299,2018,
195,东京教父,9.0,293986,2003,
196,魔女宅急便,8.7,528137,1989,
197,冰川时代,8.7,689348,2002,
198,芙蓉镇,9.3,192520,1987,
199,忠犬八公物语,9.2,220050,1987,
200,岁月神偷,8.7,614719,2010,
201,遗愿清单,8.7,542797,2007,
202,荒蛮故事,8.7,521363,2014,
203,大佛普拉斯,8.7,558457,2017,
204,源代码,8.6,931760,2011,
205,花束般的恋爱,8.6,837077,2021,
206,白日梦想家,8.6,656195,2013,
207,爱乐之城,8.4,1129721,2016,
208,疯狂的麦克斯4：狂暴之路,8.7,622341,2015,
209,可可西里,8.9,348783,2004,
210,你看起来好像很好吃,8.9,378208,2010,
211,贫民窟的百万富翁,8.6,809948,2008,
212,波西米亚狂想曲,8.6,695330,2018,
213,城市之光,9.3,174476,1931,
214,爆裂鼓手,8.6,696047,2014,
215,哈利·波特与死亡圣器(上),8.6,701342,2010,
216,青蛇,8.6,604490,1993,
217,无耻混蛋,8.7,567469,2009,
218,大红灯笼高高挂,8.8,377276,1991,
219,东邪西毒,8.6,638372,1994,
220,终结者2：审判日,8.8,388879,1991,
221,黑天鹅,8.6,850964,2010,
222,新龙门客栈,8.7,513694,1992,
223,初恋这件小事,8.5,1056016,2010,
224,千钧一发,8.8,354245,1997,
225,人工智能,8.7,506149,2001,
226,崖上的波妞,8.6,579518,2008,
227,雨人,8.7,445304,1988,
228,虎口脱险,8.9,298464,1966,
229,哈利·波特与凤凰社,8.6,701317,2007,
230,彗星来的那一夜,8.6,691103,2013,
231,罗生门,8.8,360917,1950,
232,海边的曼彻斯特,8.6,658686,2016,
233,恋恋笔记本,8.5,754288,2004,
234,火星救援,8.5,844001,2015,
235,真爱至上,8.5,811655,2003,
236,黑客帝国2：重装上阵,8.7,458652,2003,
237,冰雪奇缘,8.5,838195,2013,
238,步履不停,8.8,330706,2008,
239,奇迹男孩,8.6,603512,2017,
240,千年女优,8.8,320553,2001,
241,谍影重重2,8.7,402691,2004,
242,战争之王,8.7,418232,2005,
243,蜘蛛侠：平行宇宙,8.6,761889,2018,
244,攻壳机动队,9.0,220691,1995,
245,血钻,8.7,424286,2006,
246,小姐,8.5,582770,2016,
247,血观音,8.6,570518,2017,
248,隐藏人物,8.9,275704,2016,
249,魂断蓝桥,8.8,312529,1940,
250,房间,8.7,401872,2015,
